                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.50353,                0.48033,                 1.0928,                0.91281,                0.85902,                0.95125,                0.77133,                0.67645,                0.92583,                 1.3057,             0.00082925,             0.00082925,             0.00082925
                     36,                 0.5096,                0.45944,                  1.088,                0.98741,                0.97485,                  0.995,                0.87065,                0.62816,                0.39118,                 1.2545,             0.00081688,             0.00081688,             0.00081688
                     37,                0.51266,                0.42894,                 1.1004,                0.98249,                0.98849,                  0.995,                0.91054,                 0.4876,                0.42201,                 1.0523,              0.0008045,              0.0008045,              0.0008045
                     38,                0.47239,                0.40487,                 1.0536,                0.96206,                0.94572,                0.99063,                0.89257,                 0.5256,                0.42038,                 1.1066,             0.00079213,             0.00079213,             0.00079213
                     39,                0.47845,                0.45077,                 1.0748,                0.98331,                0.96429,                0.98722,                0.86474,                0.49328,                0.40234,                 1.0764,             0.00077975,             0.00077975,             0.00077975
                     40,                0.51746,                 0.4544,                 1.0988,                0.96806,                0.93133,                0.96212,                0.85308,                0.55492,                0.41529,                 1.0978,             0.00076738,             0.00076738,             0.00076738
                     41,                0.49793,                0.45657,                  1.075,                0.95223,                0.92478,                0.98722,                 0.8682,                0.53834,                0.41688,                 1.0876,               0.000755,               0.000755,               0.000755
                     42,                0.49599,                0.43065,                 1.0777,                0.78876,                0.81262,                0.93179,                 0.8195,                0.57661,                0.85585,                 1.1334,             0.00074263,             0.00074263,             0.00074263
                     43,                0.52751,                0.48871,                 1.0941,                0.93933,                0.99088,                0.99063,                0.87428,                0.52441,                0.42437,                 1.1129,             0.00073025,             0.00073025,             0.00073025
                     44,                0.46797,                0.43143,                 1.0616,                0.97504,                0.97632,                  0.995,                0.88707,                0.52041,                0.39024,                 1.0749,             0.00071788,             0.00071788,             0.00071788
                     45,                0.47705,                0.42836,                 1.0602,                0.96324,                0.96429,                0.99063,                0.87159,                0.55871,                0.39373,                 1.0699,              0.0007055,              0.0007055,              0.0007055
                     46,                  0.484,                0.41243,                 1.0699,                0.95869,                 0.9306,                0.98625,                0.89947,                0.48323,                0.36708,                 1.0431,             0.00069313,             0.00069313,             0.00069313
                     47,                0.47421,                0.39793,                 1.0653,                0.95784,                0.92857,                0.94569,                0.82203,                0.51907,                0.42203,                 1.1052,             0.00068075,             0.00068075,             0.00068075
                     48,                0.45995,                0.39063,                 1.0542,                0.92231,                0.95542,                0.99063,                0.86477,                0.57225,                0.46551,                 1.1647,             0.00066838,             0.00066838,             0.00066838
                     49,                0.49795,                0.42571,                 1.0772,                0.95181,                0.91969,                0.98227,                0.90135,                0.48352,                0.41314,                0.98654,               0.000656,               0.000656,               0.000656
                     50,                0.46439,                0.41064,                 1.0569,                0.84319,                0.90364,                0.96525,                0.89607,                0.47668,                0.61421,                0.99182,             0.00064362,             0.00064362,             0.00064362
                     51,                0.46487,                  0.395,                 1.0372,                0.90545,                0.85652,                0.97138,                0.89061,                0.47829,                0.53546,                 1.0148,             0.00063125,             0.00063125,             0.00063125
                     52,                0.49398,                0.40315,                 1.0758,                0.97013,                0.96429,                0.99063,                0.88907,                0.50222,                 0.3714,                 1.0446,             0.00061887,             0.00061887,             0.00061887
                     53,                0.44941,                0.41228,                 1.0489,                0.89969,                0.95506,                  0.995,                0.88586,                0.51116,                0.45007,                 1.0736,              0.0006065,              0.0006065,              0.0006065
                     54,                0.45446,                0.36429,                 1.0694,                0.97058,                0.95438,                0.98227,                0.88428,                0.50763,                0.39914,                 1.0209,             0.00059413,             0.00059413,             0.00059413
                     55,                0.46132,                0.37825,                 1.0569,                0.97895,                0.95821,                0.98722,                0.89918,                0.47148,                0.36275,                0.99174,             0.00058175,             0.00058175,             0.00058175
                     56,                0.46487,                0.40137,                 1.0608,                0.89838,                0.91072,                0.95067,                0.88787,                0.46286,                0.56912,                0.97373,             0.00056938,             0.00056938,             0.00056938
                     57,                0.48383,                0.40418,                 1.0699,                0.83949,                0.89692,                0.96235,                0.88851,                0.48134,                0.58883,                 1.0052,               0.000557,               0.000557,               0.000557
                     58,                0.43928,                0.37179,                 1.0389,                0.89334,                0.99422,                 0.9845,                0.91116,                 0.4717,                0.33545,                0.98734,             0.00054463,             0.00054463,             0.00054463
                     59,                0.45737,                0.39678,                 1.0603,                0.84364,                      1,                0.96847,                0.90121,                0.44421,                0.40975,                0.96349,             0.00053225,             0.00053225,             0.00053225
                     60,                0.42727,                0.36007,                 1.0351,                0.96396,                0.95551,                0.98722,                0.91606,                0.43287,                0.35134,                0.97819,             0.00051988,             0.00051988,             0.00051988
                     61,                0.41775,                0.35253,                 1.0328,                0.95787,                 0.8559,                0.96672,                0.90049,                0.43443,                0.43184,                0.96301,              0.0005075,              0.0005075,              0.0005075
                     62,                0.44694,                0.36989,                 1.0549,                0.99255,                0.97191,                  0.995,                0.92192,                0.43883,                0.25747,                0.94536,             0.00049513,             0.00049513,             0.00049513
                     63,                0.42556,                0.35119,                 1.0308,                0.94489,                0.95004,                  0.995,                0.90704,                0.44055,                0.39391,                0.95271,             0.00048275,             0.00048275,             0.00048275
                     64,                0.44653,                0.34793,                 1.0621,                0.98274,                0.97537,                  0.995,                0.91692,                0.42334,                0.28331,                0.95396,             0.00047038,             0.00047038,             0.00047038
                     65,                0.42163,                0.35859,                 1.0375,                0.97951,                0.97918,                  0.995,                0.91411,                0.48272,                0.28384,                  1.024,               0.000458,               0.000458,               0.000458
                     66,                0.40894,                0.32427,                  1.022,                0.94982,                0.93575,                0.99063,                 0.8933,                0.45935,                0.37191,                0.97402,             0.00044563,             0.00044563,             0.00044563
                     67,                0.42499,                0.34028,                 1.0287,                0.90954,                0.94347,                0.98285,                0.88752,                0.49803,                0.45667,                  1.005,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.4488,                0.35641,                 1.0488,                0.94797,                0.90483,                0.98285,                0.89539,                0.44896,                0.39301,                0.96635,             0.00042087,             0.00042087,             0.00042087
                     69,                0.40865,                0.31739,                 1.0387,                0.98324,                0.98143,                  0.995,                0.89173,                0.45623,                0.27523,                0.95744,              0.0004085,              0.0004085,              0.0004085
                     70,                0.40585,                0.34898,                 1.0197,                0.97572,                0.94684,                0.99063,                0.91384,                0.42552,                 0.2913,                   0.95,             0.00039613,             0.00039613,             0.00039613
                     71,                0.44182,                 0.3492,                  1.055,                0.90976,                0.94712,                0.98625,                0.91205,                0.40325,                0.36084,                0.93598,             0.00038375,             0.00038375,             0.00038375
                     72,                0.41803,                0.32851,                  1.035,                 0.9851,                0.97732,                  0.995,                0.91819,                0.38605,                 0.2734,                0.92603,             0.00037138,             0.00037138,             0.00037138
                     73,                0.44037,                0.32508,                 1.0552,                 0.9797,                 0.9942,                  0.995,                0.90483,                0.42055,                0.29591,                0.96896,               0.000359,               0.000359,               0.000359
                     74,                0.41098,                0.32021,                  1.023,                0.99057,                0.97047,                  0.995,                0.92435,                0.41523,                 0.2709,                0.92874,             0.00034663,             0.00034663,             0.00034663
                     75,                0.38958,                0.31502,                  1.015,                 0.9697,                0.96429,                0.99063,                0.90323,                0.44062,                0.30327,                0.98533,             0.00033425,             0.00033425,             0.00033425
                     76,                0.39548,                0.31099,                 1.0204,                0.95686,                0.96196,                0.99063,                0.90633,                0.45476,                0.33054,                 1.0109,             0.00032188,             0.00032188,             0.00032188
                     77,                0.40189,                0.32973,                 1.0276,                0.98431,                0.96429,                0.99063,                0.92085,                0.42974,                0.28831,                0.96906,              0.0003095,              0.0003095,              0.0003095
                     78,                0.38454,                0.31122,                 1.0097,                0.97579,                0.96429,                0.99063,                0.91198,                0.41031,                0.31219,                0.96616,             0.00029713,             0.00029713,             0.00029713
                     79,                0.39909,                0.31691,                  1.017,                0.97966,                0.97123,                  0.995,                0.92751,                0.39416,                0.25956,                0.92761,             0.00028475,             0.00028475,             0.00028475
                     80,                0.38267,                0.29674,                 1.0231,                 0.9754,                0.99103,                  0.995,                 0.9295,                0.40739,                0.29809,                0.94615,             0.00027237,             0.00027237,             0.00027237
                     81,                0.39877,                0.31309,                  1.033,                0.96772,                      1,                  0.995,                0.92261,                0.41128,                0.31092,                0.93237,                0.00026,                0.00026,                0.00026
                     82,                0.38989,                0.31202,                 1.0231,                0.96718,                0.95058,                  0.995,                0.93962,                0.41035,                 0.2985,                0.93047,             0.00024762,             0.00024762,             0.00024762
                     83,                0.39948,                0.28621,                 1.0193,                0.86109,                0.95892,                0.98013,                0.92092,                0.41916,                 0.3356,                0.93196,             0.00023525,             0.00023525,             0.00023525
                     84,                0.38123,                0.28964,                 1.0206,                0.85927,                0.98952,                0.98722,                0.92572,                0.43655,                0.32312,                0.94851,             0.00022288,             0.00022288,             0.00022288
                     85,                0.37586,                0.32131,                 1.0209,                 0.9289,                0.97982,                  0.995,                 0.9268,                0.43488,                0.29449,                0.94548,              0.0002105,              0.0002105,              0.0002105
                     86,                0.36287,                0.27552,                 1.0031,                0.97636,                0.98623,                  0.995,                 0.9234,                0.41256,                0.22739,                0.91984,             0.00019813,             0.00019813,             0.00019813
                     87,                0.36929,                 0.2898,                 1.0091,                0.98033,                0.99592,                  0.995,                0.90883,                0.42997,                0.23316,                0.93641,             0.00018575,             0.00018575,             0.00018575
                     88,                0.36973,                0.29567,                0.98904,                 0.9769,                0.96637,                  0.995,                 0.9147,                0.41967,                 0.2705,                0.93103,             0.00017338,             0.00017338,             0.00017338
                     89,                0.37478,                0.28757,                 1.0055,                0.98127,                0.98623,                  0.995,                0.91198,                0.43355,                0.23897,                0.94749,               0.000161,               0.000161,               0.000161
